Princípio Ativo,Nome Comercial,Apresentação Comercial,Fabricante,Finalidade de Uso,Classe Terapêutica,Mecanismo de Ação,Via de Administração,Forma Farmacêutica,Soma de QT_APROVADA,Soma de QT_GLOSATOTAL,Soma de VL_GLOSADO,Soma de VL_APROVADO,VL_UNITÁRIO,QT_MÉDIA_MENSAL,VL_MÉDIO_MENSAL,% GLOSA,%VL APROVADO,Unnamed: 19
OBINUTUZUMABE,GAZYVA,GAZYVA 1000 MG SOL DIL INFS IV CT FA VD TRANS X 40 ML,PRODUTOS ROCHE QUIMICOS E FARMACEUTICOS S.A.,"Leucemia linfocítica crônica (LLC), linfoma folicular","L1G1 - ANTICORPOS MONOCLONAIS ANTINEOPLÁSICOS, CD20",Anticorpo monoclonal da classe dos IgG1 ligante do CD20,IV,SOLUCAO INJETAVEL,31.0,0.0,0.0,909349.8299999996,29333.865483870955,2.5833333333333335,75779.15249999997,0,1.0,
DICLORETO DE RADIO (223 RA),XOFIGO,XOFIGO 1100 KBQML SOL INJ CX BLINDAGEM DE CHUMBO FA VD TRANS X 6ML,BAYER S.A.,Câncer de próstata metastático resistente à castração,V3C - RADIOFÁRMACOS,"Emissor de partículas Ⲁ, se liga seletivamente a áreas de intensa formação óssea",IV,SOLUCAO INJETAVEL,7.0,3.0,4680.24,200459.76,28637.108571428573,0.5833333333333334,16704.98,0.3,0.7,
RISANQUIZUMABE,SKYRIZI,SKYRIZI 150 MG SOL INJ CT BL X SER PREENC VD TRANS CAN APLIC X 1 ML,ABBVIE FARMACEUTICA LTDA.,"Psoríase em placas moderada a grave, Artrite psoriásica ativa, Doença de Crohn, Retocolite Ulcerativa",L4C - INIBIDORES DA INTERLEUCINA,Anticorpo monoclonal que age bloqueando a IL-23,IV/SC,SOLUCAO INJETAVEL,2.0,0.0,0.0,53276.43,26638.215,0.16666666666666666,4439.7025,0,1.0,
RISANQUIZUMABE,SKYRIZI,SKYRIZI 150 MG SOL INJ CT BL X SER PREENC VD TRANS X 1 ML,ABBVIE FARMACEUTICA LTDA.,"Psoríase em placas moderada a grave, Artrite psoriásica ativa, Doença de Crohn, Retocolite Ulcerativa",L4C - INIBIDORES DA INTERLEUCINA,Anticorpo monoclonal que age bloqueando a IL-23,IV/SC,SOLUCAO INJETAVEL,14.0,0.0,0.0,372859.3999999999,26632.814285714278,1.1666666666666667,31071.616666666658,0,1.0,
USTEQUINUMABE,WEZENLA,WEZENLA 90 MGML SOL INJ CT 1 SER PREENC VD TRANS DISP SEGURANCA X 1 ML,AMGEN BIOTECNOLOGIA DO BRASIL LTDA,"Doenças autoimunes (Crohn, Atrite Psoriásica, Psoríase, RCU)",L4C - INIBIDORES DA INTERLEUCINA,"Anticorpo monoclonal imunossupressor que age bloqueando a subunidade proteica p40, compartilhada pelas citocinas IL-12 e IL-29",IV/SC,SOLUCAO INJETAVEL,15.0,0.0,0.0,372865.67,24857.711333333333,1.25,31072.139166666664,0,1.0,
VEDOLIZUMABE,ENTYVIO,ENTYVIO 300 MG PO LIOF INJ CT FA VD TRANS,TAKEDA PHARMA LTDA.,"Colite Ulcerativa moderada a grave em fase ativa, Doença de Crohn moderada a grave em fase ativa, Bolsite crônica moderada a grave",A7E9 - OUTROS PRODUTOS PARA ALTERAÇÕES INFLAMATÓRIAS INTESTINAIS,Anticorpo monoclonal imunossupressor seletivo do intestino bloqueando a proteína integrina 𝛼4β7,IV/SC,SOLUCAO INJETAVEL,2.0,0.0,0.0,46242.92,23121.46,0.16666666666666666,3853.5766666666664,0,1.0,
RISANQUIZUMABE,SKYRIZI,SKYRIZI - 150 MG SOL INJ CT BL X SER PREENC VD TRA,ABBVIE FARMACEUTICA LTDA.,"Psoríase em placas moderada a grave, Artrite psoriásica ativa, Doença de Crohn, Retocolite Ulcerativa",L4C - INIBIDORES DA INTERLEUCINA,Anticorpo monoclonal que age bloqueando a IL-23,IV/SC,SOLUCAO INJETAVEL,54.0,0.0,0.0,1164313.44,21561.36,4.5,97026.12,0,1.0,
RISANQUIZUMABE,SKYRIZI,SKYRIZI - 150 MG/ML SOL INJ CT BL X SER PREENC VD ,ABBVIE FARMACEUTICA LTDA.,"Psoríase em placas moderada a grave, Artrite psoriásica ativa, Doença de Crohn, Retocolite Ulcerativa",L4C - INIBIDORES DA INTERLEUCINA,Anticorpo monoclonal que age bloqueando a IL-23,IV/SC,SOLUCAO INJETAVEL,77.0,0.0,0.0,1658076.700000003,21533.463636363675,6.416666666666667,138173.05833333358,0,1.0,
USTEQUINUMABE,STELARA,STELARA 45 MG SOL INJ CT 1 FA VD INC X 05 ML,JANSSEN-CILAG FARMACEUTICA LTDA,"Doenças autoimunes (Crohn, Atrite Psoriásica, Psoríase, RCU)",L4C - INIBIDORES DA INTERLEUCINA,"Anticorpo monoclonal imunossupressor que age bloqueando a subunidade proteica p40, compartilhada pelas citocinas IL-12 e IL-24",IV/SC,SOLUCAO INJETAVEL,5.0,0.0,0.0,93761.37,18752.273999999998,0.4166666666666667,7813.447499999999,0,1.0,
USTEQUINUMABE,STELARA,STELARA 45 MG SOL INJ CT 1 SER PREENC VD TRANS DISP SEGURANCA X 05 ML,JANSSEN-CILAG FARMACEUTICA LTDA,"Doenças autoimunes (Crohn, Atrite Psoriásica, Psoríase, RCU)",L4C - INIBIDORES DA INTERLEUCINA,"Anticorpo monoclonal imunossupressor que age bloqueando a subunidade proteica p40, compartilhada pelas citocinas IL-12 e IL-25",IV/SC,SOLUCAO INJETAVEL,133.0,0.0,0.0,2257874.390000003,16976.499172932352,11.083333333333334,188156.19916666692,0,1.0,
GENTUZUMABE OZOGAMICINA,MYLOTARG,MYLOTARG 45 MG PO LIOF SOL INJ CT FA VD AMB,PFIZER BRASIL LTDA,Leucemia Mieloide Aguda (LMA) CD33-positiva,"L1G9 - ANTICORPOS MONOCLONAIS ANTINEOPLÁSICOS, OUTROS",Anticorpo monoclonal conjugado a medicamento ligante ao CD33,IV,PO LIOFILIZADO PARA SOLUCAO INJETAVEL,15.0,0.0,27442.86,246985.77,16465.718,1.25,20582.1475,0,1.0,
RITUXIMABE,MABTHERA,MABTHERA SC ICMS 0RESTRITO HOSP 1400 MG SOL INJ,PRODUTOS ROCHE QUIMICOS E FARMACEUTICOS S.A.,"Linfoma não-Hodgkin de células B, leucemia linfocítica crônica (LLC), Artrite Reumatoide (AR), Granulomatose de Wegener, Poliangiite microscópica (PAM), Pênfigo vulgar (PV)","L1G1 - ANTICORPOS MONOCLONAIS ANTINEOPLÁSICOS, CD25",Anticorpo monoclonal ligante do CD20 que destrói linfócitos B,IV,SOLUCAO INJETAVEL,19.0,4.0,1402.16,262522.55,13816.976315789472,1.5833333333333333,21876.879166666666,0.17391304347826086,0.8260869565217391,
OFATUMUMABE,KESIMPTA,KESIMPTA 20 MG04 ML SOL INJ CT 1 CAN PREENC PLAS TRANS X 04 ML,NOVARTIS BIOCIENCIAS S.A,Esclerose Múltipla Recorrente,N7A - PRODUTOS PARA ESCLEROSE MÚLTIPLA,Anticorpo monoclonal ligante do CD20 que destrói linfócitos B,IV,SOLUCAO INJETAVEL,219.0,0.0,0.0,2743464.92,12527.23707762557,18.25,228622.07666666666,0,1.0,
RITUXIMABE,MABTHERA,MABTHERA SC 1400 MG SOL INJ SC CT 1 FA VD TRANS X 117 ML (REST HOSP),PRODUTOS ROCHE QUIMICOS E FARMACEUTICOS S.A.,"Linfoma não-Hodgkin de células B, leucemia linfocítica crônica (LLC), Artrite Reumatoide (AR), Granulomatose de Wegener, Poliangiite microscópica (PAM), Pênfigo vulgar (PV)","L1G1 - ANTICORPOS MONOCLONAIS ANTINEOPLÁSICOS, CD24",Anticorpo monoclonal ligante do CD20 que destrói linfócitos B,IV,SOLUCAO INJETAVEL,81.0,3.0,6914.610000000001,976170.0299999996,12051.481851851846,6.75,81347.50249999996,0.03571428571428571,0.9642857142857143,
RISANQUIZUMABE,SKYRIZI,SKYRIZI 75 MG SOL INJ CT 2 BL X SER PREENC VD TRANS X 083ML 2ENV LEN ALCOOL,ABBVIE FARMACEUTICA LTDA.,"Psoríase em placas moderada a grave, Artrite psoriásica ativa, Doença de Crohn, Retocolite Ulcerativa",L4C - INIBIDORES DA INTERLEUCINA,Anticorpo monoclonal que age bloqueando a IL-23,IV/SC,SOLUCAO INJETAVEL,107.0,1.0,14848.22,1264870.950000001,11821.22383177571,8.916666666666666,105405.91250000008,0.009259259259259259,0.9907407407407407,
USTEQUINUMABE,WEZENLA,WEZENLA 90 MGML SOL INJ CT 1 SER PREENC VD TRANS DISP SEGURANCA X 05 ML,AMGEN BIOTECNOLOGIA DO BRASIL LTDA,"Doenças autoimunes (Crohn, Atrite Psoriásica, Psoríase, RCU)",L4C - INIBIDORES DA INTERLEUCINA,"Anticorpo monoclonal imunossupressor que age bloqueando a subunidade proteica p40, compartilhada pelas citocinas IL-12 e IL-28",IV/SC,SOLUCAO INJETAVEL,1.0,0.0,0.0,11710.0,11710,0.08333333333333333,975.8333333333334,0,1.0,
PEGASPARGASE,ONCASPAR,ONCASPAR RESTRITO HOSP 3750 U PO LIOF SOL INJ ,LABORATORIOS SERVIER DO BRASIL LTDA,Leucemia Linfoblástica Aguda (LLA),L1X9 - TODOS OS OUTROS ANTINEOPLÁSICOS,"Enzima L-asparaginase, que atua quebrando o aminoácido asparagina, essencial para replicação tumoral",IV,SOLUCAO PARA DILUICAO PARA INFUSAO,1.0,0.0,0.0,10271.11,10271.11,0.08333333333333333,855.9258333333333,0,1.0,
VEDOLIZUMABE,ENTYVIO,ENTYVIO 300 MG PO LIOF INJ CT 1 FA VD TRANS,TAKEDA PHARMA LTDA.,"Colite Ulcerativa moderada a grave em fase ativa, Doença de Crohn moderada a grave em fase ativa, Bolsite crônica moderada a grave",A7E9 - OUTROS PRODUTOS PARA ALTERAÇÕES INFLAMATÓRIAS INTESTINAIS,Anticorpo monoclonal imunossupressor seletivo do intestino bloqueando a proteína integrina 𝛼4β7,IV/SC,SOLUCAO INJETAVEL,1712.0,320.0,94146.47,17562197.14999983,10258.292727803639,142.66666666666666,1463516.4291666525,0.15748031496062992,0.8425196850393701,
SACITUZUMABE GOVITECANA,TRODELVY,TRODELVY RESTRITO HOSP 200 MG PO LIOF SOL INJ ,GILEAD SCIENCES FARMACEUTICA DO BRASIL LTDA,"Câncer de mama triplo-negativo (CMTN) metastático ou irressecável, Câncer de mama com receptor hormonal (RH) positivo e HER2 negativo metastático ou irressecáve","L1G9 - ANTICORPOS MONOCLONAIS ANTINEOPLÁSICOS, OUTROS",Conjugado anticorpo-droga (ADC): Anticorpo monoclonal ligante da Trop-2;  Bloqueador da topoisomerase I,IV,PO LIOFILIZADO PARA SOLUCAO INJETAVEL,85.0,9.0,40559.82,760671.5499999999,8949.077058823528,7.083333333333333,63389.29583333333,0.09574468085106383,0.9042553191489362,
TEZEPELUMABE,TEZSPIRE,TEZSPIRE 210 MG191 ML SOL INJ CT SER PREENC VD TRANS X 191 ML CAN APLIC,ASTRAZENECA DO BRASIL LTDA,Tratamento de asma grave; imunossupressor,"R3X2 - TODOS OS OUTROS PRODUTOS ANTI-ASMÁTICOS e DPOC, SISTÊMICOS",Bloqueador da Linfopoietina Estromal Tímica (TSLP),IV,SOLUCAO INJETAVEL,98.0,2.0,1511.76,821922.3600000017,8386.962857142875,8.166666666666666,68493.53000000014,0.02,0.98,
NATALIZUMABE,TYSABRI,TYSABRI 20 MGML SOL INJ CT FA VD INC X 15 ML,BIOGEN BRASIL PRODUTOS FARMACEUTICOS LTDA,Esclerose Múltipla recorrente-remitente,N7A - PRODUTOS PARA ESCLEROSE MÚLTIPLA,Anticorpo monoclonal da classe dos IgG4 que age como imunomodulador,IV,SOLUCAO INJETAVEL,978.0,324.0,25003.51,8176639.729999973,8360.572321063368,81.5,681386.6441666645,0.2488479262672811,0.7511520737327189,
NATALIZUMABE,TYSABRI,TYSABRI 20 MGML SOL INJ FA X 15 ML,BIOGEN BRASIL PRODUTOS FARMACEUTICOS LTDA,Esclerose múltipla recidivante-remitente,N7A - PRODUTOS PARA ESCLEROSE MÚLTIPLA,Anticorpo monoclonal da classe dos IgG4 que age como imunomodulador,IV,SOLUCAO INJETAVEL,3.0,0.0,0.0,24707.82,8235.94,0.25,2058.985,0,1.0,
VEDOLIZUMABE,ENTYVIO,ENTYVIO 108 MG SOL INJ CT 1 SER PREENC VD TRANS X 068 ML,TAKEDA PHARMA LTDA.,"Colite Ulcerativa moderada a grave em fase ativa, Doença de Crohn moderada a grave em fase ativa, Bolsite crônica moderada a grave",A7E9 - OUTROS PRODUTOS PARA ALTERAÇÕES INFLAMATÓRIAS INTESTINAIS,Anticorpo monoclonal imunossupressor seletivo do intestino bloqueando a proteína integrina 𝛼4β7,IV/SC,SOLUCAO INJETAVEL,14.0,0.0,0.0,110440.84,7888.631428571428,1.1666666666666667,9203.403333333334,0,1.0,
DECITABINA,REDTIBIN,REDTIBIN RESTRITO HOSP 50 MG PO LIOF SOL INJ ,DR. REDDYS FARMACEUTICA DO BRASIL LTDA,"Leucemia Mieloide Aguda (LMA), Síndrome Mielodisplásica (SMD)",L1B - AGENTES ANTINEOPLÁSICOS ANTIMETABÓLITOS,Agente hipometilante (leva à hipometilação do DNA que reativa genes supressores silenciados - levam à morte celular),IV,PO LIOFILIZADO PARA SOLUCAO INJETAVEL,4.0,0.0,0.0,29660.44,7415.11,0.3333333333333333,2471.7033333333334,0,1.0,
BASILIXIMAB,SIMULECT,SIMULECT 20 MG PO LIOF INJ CT FA VD INC AMP VD INC DIL X 5 ML,NOVARTIS BIOCIENCIAS S.A,Pós transplante renal pediátrico,L4C - INIBIDORES DA INTERLEUCINA,Anticorpo monoclonal quimérico - bloqueia seletivamente a cadeia alfa do receptor de interleucina-2 (CD25),IV,SOLUCAO PARA DILUICAO PARA INFUSAO,2.0,0.0,0.0,13276.18,6638.09,0.16666666666666666,1106.3483333333334,0,1.0,
VEDOLIZUMABE,ENTYVIO,ENTYVIO 108 MG SOL INJ CT 2 SER PREENC VD TRANS X 068 ML,TAKEDA PHARMA LTDA.,"Colite Ulcerativa moderada a grave em fase ativa, Doença de Crohn moderada a grave em fase ativa, Bolsite crônica moderada a grave",A7E9 - OUTROS PRODUTOS PARA ALTERAÇÕES INFLAMATÓRIAS INTESTINAIS,Anticorpo monoclonal imunossupressor seletivo do intestino bloqueando a proteína integrina 𝛼4β7,IV/SC,SOLUCAO INJETAVEL,30.0,0.0,0.0,198000.0,6600,2.5,16500.0,0,1.0,
ANIFROLUMABE,SAPHNELO,SAPHNELO 150 MGML SOL DIL INFUS IV CT FA VD TRANS X 2 ML,ASTRAZENECA DO BRASIL LTDA,Lúpus Eritematoso Sistêmico (LES),L4X - OUTROS IMUNOSSUPRESSORES,Anticorpo monoclonal humano específico da subunidade 1 do receptor de interferon tipo I (IFNAR1),IV,SOLUCAO PARA DILUICAO PARA INFUSAO,11.0,0.0,0.0,70272.98000000001,6388.452727272728,0.9166666666666666,5856.081666666668,0,1.0,
BETADINUTUXIMABE,QARZIBA,QARZIBA 45MGML SOL DIL INFUS CT FA VD TRANS X 45ML,RECORDATI RARE DISEASES COMÉRCIO DE MEDICAMENTOS LTDA - ME,Neuroblastoma,"L1G9 - ANTICORPOS MONOCLONAIS ANTINEOPLÁSICOS, OUTROS",Anticorpo monoclonal que age especificamente contra o antígeno GD2,IV,SOLUCAO PARA INFUSAO,640.0,10.0,915125.3,3077461.299999998,4808.533281249996,53.333333333333336,256455.10833333316,0.015384615384615385,0.9846153846153847,
DURVALUMABE,IMFINZI,IMFINZI 120 MG24 ML SOL INJ CT FA VD TRANS X 24 ML,ASTRAZENECA DO BRASIL LTDA,"Câncer de pulmão de células não pequenas localmente avançado (CPNPC), Câncer de pulmão de pequenas células (CPPC), Câncer do Trato Biliar (CTB), Carcinoma hepatocelular (CHC), Câncer de bexiga","L1G5 - ANTICORPOS MONOCLONAIS ANTINEOPLÁSICOS, PD-1/PD-L1",Anticorpo monoclonal bloqueador da proteína PD-L1 (ligante da morte programada 1),IV,SOLUCAO INJETAVEL,51.0,0.0,7.81,234866.88,4605.23294117647,4.25,19572.24,0,1.0,
INFLIXIMABE,REMSIMA,REMSIMA 120 MGML SOL INJ CT 2 SER PREENCH VD TRANS X 10 ML 2 ENV LEN ALCOOL,CELLTRION HEALTHCARE DISTRIBUICAO DE PRODUTOS FARMACEUTICOS DOS BRASIL LTDA,"Artrite reumatoide, Artrite psoriásica, Espondilite anquilosante, Colite ulcerativa, Doença de Crohn, Psoríase em placas",L4B - PRODUTOS ANTI-TNF( FATOR DE NECROSE TUMORAL),Anticorpo monoclonal anti TNF-𝛼,IV,PO LIOFILIZADO PARA SOLUCAO INJETAVEL,3.0,0.0,0.0,13041.93,4347.31,0.25,1086.8275,0,1.0,
IMUNOGLOBULINA HUMANA,SANDOGLOBULINA,SANDOGLOBULINA PRIVIGEN 01 GML SOL INJ CT FA VD TRANS X 100 ML,CSL BEHRING,"Síndromes de imunodeficiências primárias: Agamaglobulinemia, hipogamaglobulinemia congênitas, imunodeficiência comum variável, imunodeficiência combinada grave e síndrome de Wiskott-Aldrich; Hipogamaglobulinemia secundária; AIDS congênita; Imunomodulação: Púrpura trombocitopênica idiopática (PTI), Síndrome de Guillain-Barré, Doença de Kawasaki, transplante de medula óssea alogênico e neuropatia motora multifocal (NMM)",J6C - IMUNOGLOBULINAS POLIVALENTES INTRAVENOSAS,Reposição de IgG,IV,SOLUCAO INJETAVEL,8.0,0.0,0.0,33943.81,4242.97625,0.6666666666666666,2828.650833333333,0,1.0,
AFLIBERCEPTE,EYLIA,EYLIA 1143 MGML SOL INJ IVIT CT 1 FA VD TRANS X 0263 ML AGU,BAYER S.A.,"Injeção intravítrea para doenças oftalmológicas (DMRI, EMD, CVCR, NVC miópica, ROP)",S1P - PRODUTOS ANTINEOVASCULARIZAÇÃO OCULAR,Bloqueador de VEGF e PIGF,IV,SOLUCAO PARA DILUICAO PARA INFUSAO,11.0,1.0,3490.69,46435.02,4221.365454545455,0.9166666666666666,3869.5849999999996,0.08333333333333333,0.9166666666666666,
ALENTUZUMABE,LEMTRADA,LEMTRADA 10 MGML SOL DIL INFUS CT FA VD TRANS,SANOFI MEDLEY FARMACEUTICA LTDA,Esclerose Múltipla Remitente-Recorrente (EMRR),N7A - PRODUTOS PARA ESCLEROSE MÚLTIPLA,"Anticorpo monoclonal ligante da proteína de superfície celular CD52 (linfócitos B e T, gerando citólise)",IV,SOLUCAO PARA DILUICAO PARA INFUSAO,32.0,0.0,0.0,133517.83,4172.4321875,2.6666666666666665,11126.485833333332,0,1.0,
IMUNOGLOBULINA HUMANA,SANDOGLOBULINA,SANDOGLOBULINA PRIVIGEN RESTRITO HOSP 01 GML SOL,CSL BEHRING,"Síndromes de imunodeficiências primárias: Agamaglobulinemia, hipogamaglobulinemia congênitas, imunodeficiência comum variável, imunodeficiência combinada grave e síndrome de Wiskott-Aldrich; Hipogamaglobulinemia secundária; AIDS congênita; Imunomodulação: Púrpura trombocitopênica idiopática (PTI), Síndrome de Guillain-Barré, Doença de Kawasaki, transplante de medula óssea alogênico e neuropatia motora multifocal (NMM)",J6C - IMUNOGLOBULINAS POLIVALENTES INTRAVENOSAS,Reposição de IgG,IV,SOLUCAO INJETAVEL,116.0,76.0,151178.01,449982.1,3879.1560344827585,9.666666666666666,37498.50833333333,0.3958333333333333,0.6041666666666667,
IMUNOGLOBULINA HUMANA,GAMUNEX,GAMUNEX 5G SOL INJETAVEL FA 50ML,GRIFOLS BRASIL LTDA,"Síndromes de imunodeficiências primárias: Agamaglobulinemia, hipogamaglobulinemia congênitas, imunodeficiência comum variável, imunodeficiência combinada grave e síndrome de Wiskott-Aldrich; Hipogamaglobulinemia secundária; AIDS congênita; Imunomodulação: Púrpura trombocitopênica idiopática (PTI), Síndrome de Guillain-Barré, Doença de Kawasaki, transplante de medula óssea alogênico e neuropatia motora multifocal (NMM)",J6C - IMUNOGLOBULINAS POLIVALENTES INTRAVENOSAS,Reposição de IgG,IV,SOLUCAO INJETAVEL,648.0,0.0,0.0,2345736.749999998,3619.9641203703677,54,195478.06249999985,0,1.0,
AFLIBERCEPTE,EYLIA,EYLIA 40 MGML SOL INJ CT 1 FA VD TRANS X 0278 ML AGU COM FILTRO 01,BAYER S.A.,"Injeção intravítrea para doenças oftalmológicas (DMRI, EMD, CVCR, NVC miópica, ROP)",S1P - PRODUTOS ANTINEOVASCULARIZAÇÃO OCULAR,Bloqueador de VEGF e PIGF,IV,SOLUCAO PARA DILUICAO PARA INFUSAO,1004.0,100.0,217436.1900000001,3445597.610000009,3431.8701294820808,83.66666666666667,287133.1341666674,0.09057971014492754,0.9094202898550725,
INFLIXIMABE,REMSIMA,REMSIMA 120 MGML SOL INJ CT 1 SER PREENCH VD TRANS X 10 ML  2 ENV LEN ALCOOL,CELLTRION HEALTHCARE DISTRIBUICAO DE PRODUTOS FARMACEUTICOS DOS BRASIL LTDA,"Artrite reumatoide, Artrite psoriásica, Espondilite anquilosante, Colite ulcerativa, Doença de Crohn, Psoríase em placas",L4B - PRODUTOS ANTI-TNF( FATOR DE NECROSE TUMORAL),Anticorpo monoclonal anti TNF-𝛼,IV,PO LIOFILIZADO PARA SOLUCAO INJETAVEL,16.0,0.0,0.0,54555.84,3409.74,1.3333333333333333,4546.32,0,1.0,
