Princípio Ativo,Nome Comercial,Apresentação Comercial,Fabricante,Finalidade de Uso,Classe Terapêutica,Mecanismo de Ação,Via de Administração,Forma Farmacêutica,Soma de QT_APROVADA,Soma de QT_GLOSATOTAL,Soma de VL_GLOSADO,Soma de VL_APROVADO,VL_UNITÁRIO,QT_MÉDIA_MENSAL,VL_MÉDIO_MENSAL,% GLOSA,%VL APROVADO,Unnamed: 19
FULVESTRANTO,FASLODEX,FULVESTRANTO 50 MGML SOL INJ IM CT 2 SER PREENC VD TRANS X 5 ML 2 AGU,ASTRAZENECA DO BRASIL LTDA,Câncer de mama avançado com receptores de estrogênio positivos e HER2-negativo,L2B9 - OUTROS CITOSTÁTICOS ANTAGONISTAS HORMONAIS,Bloqueador e degradador os receptores de estrogênio (RE),IM,SOLUCAO INJETAVEL,74.0,6.0,1208.04,62515.33999999999,844.8018918918917,6.166666666666667,5209.611666666666,0.075,0.925,
TRIPTORRELINA,NEO DECAPEPTYL,NEO DECAPEPTYL 375 MG PO LIOF INJ CT FA VD TRANS SOL DIL X 2 ML,ACHE LABORATORIOS FARMACEUTICOS S.A,"Neoplasia maligna da próstata (câncer de próstata) hormônio-dependente avançado, Puberdade precoce central (PPC), Endometriose, Leiomioma (mioma) do útero sintomático, Reprodução Assistida",L2A3 - ANÁLOGOS HORMONAIS DE LIBERAÇÃO DE GONADOTROFINAS CITOSTÁTICOS,Agonista do hormônio liberador de gonadotrofina (GnRH ou LHRH),IM,PO LIOFILIZADO PARA SOLUCAO INJETAVEL+SOLUCAO DILUENTE,3.0,0.0,0.0,2445.66,815.2199999999999,0.25,203.80499999999998,0,1.0,
FULVESTRANTO,FASLODEX,FULVESTRANTO 50 MG ML SOL INJ IM CT SER VD TRANS PREENCH DESCART X 5 ML AGULHA,ASTRAZENECA DO BRASIL LTDA,Câncer de mama avançado com receptores de estrogênio positivos e HER2-negativo,L2B9 - OUTROS CITOSTÁTICOS ANTAGONISTAS HORMONAIS,Bloqueador e degradador os receptores de estrogênio (RE),IM,SOLUCAO INJETAVEL,16.0,0.0,0.0,7423.88,463.9925,1.3333333333333333,618.6566666666666,0,1.0,
FULVESTRANTO,FASLODEX,FULVESTRANTO 50 MGML SOL INJ IM CT SER PREENC VD TRANS X 5 ML AGU,ASTRAZENECA DO BRASIL LTDA,Câncer de mama avançado com receptores de estrogênio positivos e HER2-negativo,L2B9 - OUTROS CITOSTÁTICOS ANTAGONISTAS HORMONAIS,Bloqueador e degradador os receptores de estrogênio (RE),IM,SOLUCAO INJETAVEL,2.0,0.0,0.0,510.22,255.11,0.16666666666666666,42.51833333333334,0,1.0,
PALIVIZUMABE,SYNAGIS,SYNAGIS 100 MGML SOL INJ CT FA VD INC X 10 ML,ASTRAZENECA DO BRASIL LTDA,Vírus Sincicial Respiratório (VSR),J6H9 - OUTRAS IMUNOGLOBULINAS ANTIVIRAIS,Anticorpo monoclonal ligante à proteína de fusão (proteína F) do vírus e impede a sua entrada nas células do trato respiratório,IM,SOLUCAO INJETAVEL,25222.0,2573.0,43627.76,2441243.410000002,96.79023907699636,2101.8333333333335,203436.9508333335,0.09257060622414104,0.907429393775859,
PALIVIZUMABE,SYNAGIS,SYNAGIS 100 MGML SOL INJ CT FA VD INC X 05 ML,ASTRAZENECA DO BRASIL LTDA,Vírus Sincicial Respiratório (VSR),J6H9 - OUTRAS IMUNOGLOBULINAS ANTIVIRAIS,Anticorpo monoclonal ligante à proteína de fusão (proteína F) do vírus e impede a sua entrada nas células do trato respiratório,IM,SOLUCAO INJETAVEL,8936.0,825.0,21475.49,833502.3800000006,93.2746620411818,744.6666666666666,69458.53166666672,0.08452002868558549,0.9154799713144145,
PEGASPARGASE,ONCASPAR,ONCASPAR 750 UML SOL INJ CT 1 FA VD INC X 5 ML,LABORATORIOS SERVIER DO BRASIL LTDA,Leucemia Linfoblástica Aguda (LLA),L1X9 - TODOS OS OUTROS ANTINEOPLÁSICOS,"Enzima L-asparaginase, que atua quebrando o aminoácido asparagina, essencial para replicação tumoral",IM,SOLUCAO INJETAVEL,119266.0,6271.0,9794.07,327367.42,2.7448511730082337,9938.833333333334,27280.618333333332,0.04995340019277185,0.9500465998072282,
Total,,,,,,,,,154779.0,9770.0,203752.80999999994,7455223.100000003,48.16689021120438,12898.25,621268.591666667,0.05937441126959143,0.9406255887304086,
,,,,,,,,,6729.521739130435,4885.0,1.156668552128672,0.7625698035048278,0.9998866829125359,-6728.521739130434,0.762569803504828,-0.020625588730408574,,
,,,,,,,,,,,,,Maior,Menor,,Menor,,
